Identifier,Point_id,Latitude,Longitude,z,Hs
19_115,6,50.8349565,-115.2193192,2290.5481,0.42
19_115,7,50.83486637,-115.2191465,2287.5119,0.46
19_115,8,50.83476282,-115.2189052,2284.196,0.08
19_115,9,50.8346483,-115.2184583,2277.26,0.8
19_115,10,50.83457992,-115.2182299,2272.0037,0.67
19_115,11,50.83449289,-115.2179219,2265.3006,1.37
19_115,12,50.83434945,-115.2177064,2260.9586,1.61
19_115,13,50.83429701,-115.2172293,2249.7252,1.28
19_115,14,50.83427498,-115.2169466,2242.7111,1.02
19_115,15,50.83427299,-115.2167007,2236.3567,1.93
19_115,16,50.83420445,-115.216291,2228.4452,1.56
19_115,17,50.83406995,-115.2159373,2220.1507,1.48
19_115,18,50.83402394,-115.2156846,2213.5987,1.84
19_115,19,50.83396016,-115.2155723,2210.1733,1.39
19_115,20,50.83390145,-115.2155235,2207.9692,1.23
19_115,21,50.83377033,-115.2154602,2203.2973,1.42
19_115,22,50.83361497,-115.215372,2196.9722,1.18
19_115,23,50.83339015,-115.215141,2189.5743,1.06
19_115,24,50.83320696,-115.2150098,2186.2296,1.71
19_115,25,50.83312102,-115.2147018,2177.566,1.56
19_115,26,50.83302485,-115.2145332,2170.9205,1.46
19_115,27,50.83288785,-115.2143557,2164.982,1.05
19_115,28,50.83286645,-115.2142205,2162.8362,0.76
19_115,29,50.83284982,-115.214086,2159.6053,1.08
19_115,30,50.8327453,-115.2137834,2149.65,1.06
19_115,31,50.83256782,-115.2132108,2131.125,0.86
19_115,32,50.8323219,-115.2130537,2124.0416,1.11
19_115,33,50.8321067,-115.2132849,2124.5649,1.61
19_115,34,50.831946,-115.2132363,2123.8122,0.54
19_115,35,50.83169066,-115.2131995,2120.6364,0.94
19_115,36,50.83141289,-115.2131599,2116.3443,1.06
19_115,37,50.83119479,-115.2127209,2102.0661,1.24
19_115,38,50.83131988,-115.2122953,2092.8722,0.49
19_115,39,50.83101703,-115.2124463,2090.7491,0.64
19_115,40,50.83089798,-115.2124457,2089.6077,0.81
19_115,41,50.83076817,-115.2124104,2084.9292,0.83
19_115,42,50.83069578,-115.2123597,2082.1917,1.24
19_115,43,50.83059418,-115.2123,2078.7479,1.4
19_115,44,50.8303989,-115.2122558,2073.65,0.43
19_044,3,50.83837947,-115.217477,2307.5504,0.25
19_044,4,50.83842379,-115.217483,2307.5194,0.31
19_044,5,50.83245613,-115.2198659,2265.0175,0.3
19_044,6,50.83249505,-115.2199944,2266.6674,1.61
19_044,7,50.83643915,-115.220235,2304.3592,0.67
19_044,8,50.83623948,-115.221243,2302.7057,0.33
19_044,9,50.83617998,-115.2209185,2304.3762,0.41
19_044,10,50.83587502,-115.2204482,2303.9069,0.2
19_044,11,50.83594139,-115.2192137,2293.043,0.39
