"Identifier","datetime","GNSS_point_id","transect","surv_id","canopy","z","Hs_insitu","Longitude","Latitude","easting_m","northing_m"
"22_047",2022-02-16,21,NA,NA,"O",2088.2697,0.06,-115.196716491111,50.8257193941667,627004.910145788,5631994.14065974
"22_047",2022-02-16,21,NA,NA,"O",2088.2697,0.06,-115.196716491111,50.8257193941667,627004.910145788,5631994.14065974
"22_047",2022-02-16,21,NA,NA,"O",2088.2697,0.06,-115.196716491111,50.8257193941667,627004.910145788,5631994.14065974
"22_047",2022-02-16,23,"T1",1,"M",2088.8178,0.03,-115.196821477778,50.8259302316667,626996.944307684,5632017.40309444
"22_047",2022-02-16,24,"T1",2,"O",2088.9024,0.06,-115.196814775278,50.8259144355556,626997.459195274,5632015.6582549
"22_047",2022-02-16,25,"T1",3,"M",2088.2753,0.03,-115.196820778333,50.8258904297222,626997.101574537,5632012.97874366
"22_047",2022-02-16,26,"T1",4,"O",2088.5276,0.06,-115.196799384722,50.8258800002778,626998.636519054,5632011.85587118
"22_047",2022-02-16,27,"T1",8,"O",2088.1357,0.04,-115.196731198611,50.8258211172222,627003.598314116,5632005.42590129
"22_047",2022-02-16,29,"T1",16,"O",2087.3598,0.06,-115.196644439167,50.8256462625,627010.18288583,5631986.13304677
"22_047",2022-02-16,29,"T1",16,"O",2087.3598,0.06,-115.196644439167,50.8256462625,627010.18288583,5631986.13304677
"22_047",2022-02-16,29,"T1",16,"O",2087.3598,0.06,-115.196644439167,50.8256462625,627010.18288583,5631986.13304677
"22_047",2022-02-16,32,"T1",30,"E",2086.0086,0.06,-115.196591058056,50.8254412969444,627014.498536335,5631963.43481863
"22_047",2022-02-16,33,"T2",1,"M",2085.9384,0.015,-115.196627796944,50.8254250333333,627011.955318217,5631961.56332503
"22_047",2022-02-16,34,"T2",1,"E",2086.1183,0.052,-115.196634974167,50.8254181530556,627011.468530716,5631960.78597408
"22_047",2022-02-16,35,"T2",7,"M",2086.9151,0.03,-115.196677425278,50.8255247347222,627008.189639846,5631972.56375058
"22_047",2022-02-16,36,"T2",4,"O",2086.724,0.06,-115.1966703325,50.8255286786111,627008.678448532,5631973.0144609
"22_047",2022-02-16,37,"T2",26,"E",2088.2453,0.045,-115.196865640278,50.8257958855556,626994.19873115,5632002.38933154
"22_047",2022-02-16,38,"T2",27,"E",2088.2835,0.035,-115.196886485556,50.8257987147222,626992.723025083,5632002.6680777
"22_047",2022-02-16,39,"T2",29,"M",2088.2414,0.03,-115.196924664444,50.8258049502778,626990.017356315,5632003.29578763
